Storm Name,DateTime(BJT),Intensity Category,Latitude (°N),Longitude (°E),Pressure (hPa),Max Sustained Wind (m/s)
Vernon,1984060800,1,12.0,113.5,1003,12
Vernon,1984060806,1,12.5,112.9,1002,15
Vernon,1984060812,1,13.0,112.6,1002,15
Vernon,1984060818,1,13.5,112.4,999,15
Vernon,1984060900,1,14.0,112.3,999,15
Vernon,1984060906,2,14.3,112.1,998,20
Vernon,1984060912,2,14.8,111.9,994,20
Vernon,1984060918,2,15.2,111.2,994,20
Vernon,1984061000,2,15.5,109.8,995,20
Vernon,1984061006,2,16.1,108.9,996,20
Vernon,1984061012,2,17.0,107.5,998,20
Vernon,1984061018,1,16.7,106.5,1000,15
Vernon,1984061100,1,16.3,104.5,1000,12
Ophelia,1958010700,1,4.2,170.9,1000,15
Ophelia,1958010706,2,4.8,170.2,995,20
Ophelia,1958010712,3,5.3,169.3,990,25
Ophelia,1958010718,4,5.7,168.3,980,35
Ophelia,1958010800,6,6.2,167.1,960,55
Ophelia,1958010806,6,6.6,165.9,940,75
Ophelia,1958010812,6,7.0,164.8,944,75
Ophelia,1958010818,6,7.3,163.7,950,70
Ophelia,1958010900,6,7.4,162.6,955,65
Ophelia,1958010906,6,7.6,161.5,960,60
Ophelia,1958010912,6,7.4,160.1,962,60
Ophelia,1958010918,6,7.4,158.7,962,60
Ophelia,1958011000,6,7.3,157.4,963,60
Ophelia,1958011006,6,7.6,156.2,969,55
Ophelia,1958011012,6,7.8,154.7,972,55
Ophelia,1958011018,5,7.9,153.3,975,50
Ophelia,1958011100,5,7.9,152.0,982,45
Ophelia,1958011106,5,7.9,151.0,982,45
Ophelia,1958011112,5,7.9,149.8,982,45
Ophelia,1958011118,4,8.0,148.3,984,40
Ophelia,1958011200,5,8.1,146.9,980,45
Ophelia,1958011206,5,8.2,145.6,973,50
Ophelia,1958011212,5,8.3,144.2,967,50
Ophelia,1958011218,6,8.6,142.8,960,55
Ophelia,1958011300,6,9.0,141.7,955,60
Ophelia,1958011306,6,9.3,140.4,953,60
Ophelia,1958011312,6,9.6,139.2,948,65
Ophelia,1958011318,6,10.0,138.0,941,75
Ophelia,1958011400,6,10.3,137.2,940,75
Ophelia,1958011406,6,10.8,136.5,939,75
Ophelia,1958011412,6,11.1,136.0,944,70
Ophelia,1958011418,6,11.5,135.5,950,65
Ophelia,1958011500,6,11.9,135.2,955,60
Ophelia,1958011506,6,12.3,135.1,960,55
Ophelia,1958011512,5,12.5,135.0,968,50
Ophelia,1958011518,4,12.7,134.9,976,40
Ophelia,1958011600,4,12.8,135.0,984,35
Ophelia,1958011606,3,12.9,135.3,993,30
Ophelia,1958011612,3,12.4,134.3,995,25
Ophelia,1958011618,3,13.3,132.9,995,25
Ophelia,1958011700,2,14.5,132.7,1000,20
Ophelia,1958011706,2,15.2,133.1,1002,20
Ophelia,1958011712,1,16.0,133.6,1008,15
Ophelia,1958011718,0,16.8,134.2,1010,0
Ophelia,1958011800,0,17.5,135.0,1010,0
Irma,1953022006,2,8.3,153.2,1000,20
Irma,1953022012,2,9.3,151.9,1000,20
Irma,1953022018,2,9.9,150.3,1000,20
Irma,1953022100,3,10.3,148.5,990,30
Irma,1953022106,4,10.5,146.7,980,35
Irma,1953022112,4,11.2,145.5,980,40
Irma,1953022118,4,12.2,144.5,980,40
Irma,1953022200,4,12.8,143.5,980,40
Irma,1953022206,4,13.3,142.4,980,40
Irma,1953022212,4,13.6,141.4,980,40
Irma,1953022218,4,13.8,140.4,980,40
Irma,1953022300,5,14.1,139.4,975,50
Irma,1953022306,5,14.2,138.3,975,50
Irma,1953022312,5,14.2,136.9,980,45
Irma,1953022318,4,14.1,135.8,990,35
Irma,1953022400,4,13.9,134.8,990,35
Irma,1953022406,3,13.8,133.5,995,30
Irma,1953022412,3,13.8,132.0,995,30
Irma,1953022418,3,13.8,130.4,1000,25
Irma,1953022500,3,13.3,128.0,1000,25
Irma,1953022506,2,12.8,126.6,1006,20
Irma,1953022512,1,12.3,125.7,1012,12
Irma,1953022518,0,11.7,124.5,1012,0
Irma,1953022600,0,10.0,122.3,1012,0
Wanda,1974010900,0,8.0,132.2,1000,10
Wanda,1974010906,0,8.2,131.5,1000,10
Wanda,1974010912,1,8.6,130.9,998,15
Wanda,1974010918,2,9.2,130.5,996,20
Wanda,1974011000,3,9.9,130.9,996,25
Wanda,1974011006,3,10.5,131.8,992,30
Wanda,1974011012,3,11.2,132.6,993,30
Wanda,1974011018,3,11.8,133.1,994,25
Wanda,1974011100,2,12.3,133.7,995,20
Wanda,1974011106,2,12.7,134.7,996,20
Wanda,1974011112,1,13.1,135.9,997,15
Wanda,1974011118,1,13.3,136.9,998,15
Wanda,1974011200,1,13.7,137.9,999,15
Wanda,1974011206,2,14.3,138.9,995,20
Wanda,1974011212,2,14.6,140.1,993,20
Wanda,1974011218,2,14.7,141.3,995,20
Wanda,1974011300,1,14.8,142.8,998,15
Wanda,1974011306,1,15.0,144.6,1000,15
Wanda,1974011312,0,15.0,147.1,1002,10
Kujira,2009050112,1,12.8,124.0,1006,13
Kujira,2009050118,1,12.9,124.2,1004,13
Kujira,2009050200,1,13.0,124.3,1004,13
Kujira,2009050206,1,13.2,124.4,1002,15
Kujira,2009050212,1,13.4,124.5,1002,15
Kujira,2009050218,2,13.6,124.5,1000,18
Kujira,2009050300,2,13.9,124.6,996,20
Kujira,2009050306,2,14.1,125.0,990,23
Kujira,2009050312,3,14.5,125.7,990,25
Kujira,2009050318,3,15.0,126.5,985,28
Kujira,2009050400,3,15.7,127.4,980,30
Kujira,2009050406,4,16.4,128.4,975,33
Kujira,2009050412,4,16.8,129.6,960,40
Kujira,2009050418,5,17.1,131.1,950,45
Kujira,2009050500,4,17.6,132.7,960,40
Kujira,2009050506,4,18.3,134.0,960,40
Kujira,2009050512,4,18.8,135.4,960,40
Kujira,2009050518,4,19.5,136.9,960,40
Kujira,2009050600,4,20.4,138.2,960,40
Kujira,2009050606,4,21.6,139.9,960,40
Kujira,2009050612,4,22.7,141.3,965,38
Kujira,2009050618,4,24.2,142.9,975,33
Kujira,2009050700,3,26.0,143.8,985,28
Kujira,2009050706,2,28.2,145.1,990,23
Kujira,2009050712,9,30.2,147.3,995,18
Kujira,2009050718,9,32.3,149.3,998,18
Kujira,2009050800,9,34.4,150.9,1000,18
(nameless),2006030406,1,5.0,138.3,1000,15
(nameless),2006030412,1,5.5,138.0,1000,15
(nameless),2006030418,1,6.6,137.9,1000,15
(nameless),2006030500,1,6.9,137.7,1000,15
(nameless),2006030506,1,7.2,137.5,1000,15
(nameless),2006030512,1,7.5,137.5,1000,15
(nameless),2006030518,1,6.6,138.1,1002,12
(nameless),2006030600,1,5.2,137.3,1002,12
(nameless),2006030606,1,4.6,136.6,1002,12
(nameless),2006030612,1,4.4,135.6,1002,12
(nameless),2006030618,1,4.2,135.0,1002,12
(nameless),2006030700,1,4.1,134.4,1004,12
(nameless),1956011800,1,12.5,115.4,1004,12
(nameless),1956011806,1,13.5,116.0,1004,12
(nameless),1956011812,1,14.4,116.6,1002,12
(nameless),1956011818,1,15.2,116.9,1002,15
(nameless),1956011900,1,16.2,116.9,1002,15
(nameless),1956011906,1,17.3,117.3,1002,15
(nameless),1956011912,1,17.7,117.8,1004,12
(nameless),1956011918,1,18.0,118.6,1006,12
(nameless),1956012000,1,18.3,119.5,1006,12
(nameless),1956012006,0,18.5,120.5,1008,10
Yanyan,2003011506,1,6.9,163.1,1004,12
Yanyan,2003011512,1,7.6,161.2,1004,12
Yanyan,2003011518,1,8.2,159.7,1004,15
Yanyan,2003011600,1,8.7,158.2,1004,15
Yanyan,2003011606,1,9.4,156.7,1004,15
Yanyan,2003011612,1,10.2,154.3,1004,15
Yanyan,2003011618,1,11.0,152.8,1004,15
Yanyan,2003011700,1,11.7,150.9,1004,15
Yanyan,2003011706,1,12.4,149.5,1002,15
Yanyan,2003011712,1,12.9,148.6,1002,15
Yanyan,2003011718,1,13.2,147.8,1002,15
Yanyan,2003011800,1,13.6,146.8,1000,15
Yanyan,2003011806,2,14.1,146.6,998,18
Yanyan,2003011812,2,14.5,146.8,998,18
Yanyan,2003011818,2,14.7,147.3,995,18
Yanyan,2003011900,2,14.9,147.9,995,18
Yanyan,2003011906,2,15.2,148.8,995,18
Yanyan,2003011912,2,15.6,150.0,995,18
Yanyan,2003011918,2,16.2,151.3,995,18
Yanyan,2003012000,2,16.8,152.4,995,18
Yanyan,2003012006,2,17.2,153.7,995,18
Yanyan,2003012012,1,17.5,154.9,1000,15
Yanyan,2003012018,1,17.9,156.1,1004,12
Yanyan,2003012100,0,19.0,157.0,1006,10
(nameless),1963033006,0,8.1,145.0,1006,0
(nameless),1963033012,0,8.1,144.2,1006,0
(nameless),1963033018,0,8.1,143.5,1006,0
(nameless),1963033100,1,8.2,142.8,1004,12
(nameless),1963033106,1,8.4,141.7,1002,15
(nameless),1963033112,1,8.8,140.5,1002,15
(nameless),1963033118,1,9.3,139.2,1002,15
(nameless),1963040100,1,9.7,137.7,1002,15
(nameless),1963040106,1,9.6,136.2,1002,15
(nameless),1963040112,1,9.9,135.3,1002,15
(nameless),1963040118,1,10.4,135.0,1002,15
(nameless),1963040200,1,11.0,134.9,1002,15
(nameless),1963040206,1,11.8,135.4,1002,15
(nameless),1963040212,1,12.9,135.5,1002,15
(nameless),1963040218,1,14.2,135.3,1002,15
(nameless),1963040300,1,15.5,135.6,1002,15
(nameless),1963040306,1,16.4,135.9,1001,15
(nameless),1963040312,1,16.9,136.1,1002,15
(nameless),1963040318,1,17.3,136.0,1004,12
(nameless),1963040400,1,17.5,135.7,1004,12
(nameless),1963040406,1,17.5,135.2,1006,12
(nameless),1963040412,1,17.4,134.6,1006,12
(nameless),1963040418,1,17.1,134.1,1006,12
(nameless),1963040500,1,16.7,133.6,1006,12
(nameless),1963040506,1,16.5,133.1,1006,12
(nameless),1963040512,1,16.2,132.6,1006,12
(nameless),1963040518,1,15.9,131.9,1006,12
(nameless),1963040600,0,15.8,131.1,1008,10
(nameless),1963040606,0,15.8,129.8,1008,0
(nameless),1963040612,0,15.8,128.5,1008,0
(nameless),1963040618,0,15.9,127.1,1008,0
(nameless),1963040700,0,16.0,126.4,1008,0
(nameless),1963040706,0,16.5,126.0,1008,0
(nameless),1965011500,0,10.0,130.5,1008,0
(nameless),1965011506,0,9.5,129.9,1008,0
(nameless),1965011512,0,9.0,129.0,1006,0
(nameless),1965011518,0,9.0,128.0,1006,0
(nameless),1965011600,1,9.0,127.0,1006,12
(nameless),1965011606,1,9.1,126.0,1003,15
(nameless),1965011612,0,9.5,124.8,1006,0
(nameless),1965011618,0,9.5,124.0,1006,0
(nameless),1965011700,0,9.3,123.0,1006,0
(nameless),1967010900,0,6.9,143.7,1002,0
(nameless),1967010906,0,7.0,143.0,1002,0
(nameless),1967010912,0,7.1,142.4,1004,0
(nameless),1967010918,0,7.3,141.6,1004,0
(nameless),1967011000,0,7.3,140.8,1004,0
(nameless),1967011006,0,7.2,140.0,1004,0
(nameless),1967011012,0,7.1,139.3,1004,0
(nameless),1967011018,0,7.0,138.4,1005,0
(nameless),1967011100,0,6.8,137.4,1005,0
(nameless),1967011106,0,6.7,136.6,1005,0
(nameless),1967011112,0,6.6,135.6,1005,0
(nameless),1967011118,0,6.6,134.6,1005,0
(nameless),1967011200,0,6.8,133.7,1005,0
(nameless),1967011206,0,7.1,132.9,1004,0
(nameless),1967011212,0,7.5,131.9,1004,0
(nameless),1967011218,1,8.1,131.0,1004,12
(nameless),1967011300,1,8.8,130.0,1004,15
(nameless),1967011306,1,9.5,129.2,1004,15
(nameless),1967011312,1,10.3,128.3,1004,15
(nameless),1967011318,1,11.0,127.7,1004,12
(nameless),1967011400,1,11.6,127.0,1004,12
(nameless),1967011406,1,12.0,126.0,1004,12
(nameless),1967011412,0,11.9,125.0,1006,0
(nameless),1967011418,0,11.5,124.0,1007,0
(nameless),1967011500,0,11.0,123.0,1008,0
Ivy,1960012806,1,6.3,134.9,1003,12
Ivy,1960012812,1,6.4,134.0,1002,12
Ivy,1960012818,1,6.5,133.1,1002,12
Ivy,1960012900,1,6.5,132.3,1002,12
Ivy,1960012906,1,6.5,131.6,1002,12
Ivy,1960012912,1,6.8,130.8,1002,12
Ivy,1960012918,1,7.3,130.4,1002,12
Ivy,1960013000,1,8.0,130.3,1002,12
Ivy,1960013006,1,8.5,130.2,1000,15
Ivy,1960013012,1,9.0,130.0,1000,15
Ivy,1960013018,1,9.4,129.6,1000,15
Ivy,1960013100,1,9.7,129.2,1000,15
Ivy,1960013106,1,9.9,128.5,1000,15
Ivy,1960013112,1,10.2,127.8,1000,15
Ivy,1960013118,1,10.8,127.6,1000,15
Ivy,1960020100,1,11.3,127.8,1000,15
Ivy,1960020106,1,11.5,128.4,1000,15
Ivy,1960020112,1,11.8,129.2,1000,15
Ivy,1960020118,1,11.9,130.1,1000,15
Ivy,1960020200,1,12.1,131.0,1002,15
Ivy,1960020206,1,12.7,132.2,1002,15
Ivy,1960020212,1,13.5,133.8,1002,15
Ivy,1960020218,1,14.0,136.6,1004,12
Ivy,1960020300,1,14.0,140.0,1006,12
Ivy,1960020306,0,14.7,143.7,1008,0
Ivy,1960020312,0,16.0,147.2,1010,0
Vongfong,2020050900,1,6.5,132.8,1004,13
Vongfong,2020050906,1,6.7,132.5,1004,13
Vongfong,2020050912,1,7.0,132.2,1004,13
Vongfong,2020050918,1,7.3,131.8,1002,15
Vongfong,2020051000,1,7.6,131.2,1002,15
Vongfong,2020051006,1,7.8,130.7,1002,15
Vongfong,2020051012,1,8.0,130.4,1002,15
Vongfong,2020051018,1,8.2,130.0,1002,15
Vongfong,2020051100,1,8.3,129.6,1002,15
Vongfong,2020051106,1,8.7,129.3,1002,15
Vongfong,2020051112,1,9.1,129.1,1002,15
Vongfong,2020051118,1,9.6,129.2,1002,15
Vongfong,2020051200,1,10.1,129.5,1002,15
Vongfong,2020051206,1,10.8,129.6,1002,15
Vongfong,2020051212,2,11.2,129.5,1000,18
Vongfong,2020051218,2,11.7,129.3,995,20
Vongfong,2020051300,3,11.9,128.9,990,25
Vongfong,2020051306,3,12.1,128.4,980,30
Vongfong,2020051312,4,12.2,127.8,970,38
Vongfong,2020051318,5,12.2,127.0,960,42
Vongfong,2020051400,5,12.1,126.2,955,45
Vongfong,2020051406,5,12.2,125.3,950,48
Vongfong,2020051412,4,12.4,124.5,965,40
Vongfong,2020051418,4,12.8,123.6,970,35
Vongfong,2020051500,4,13.2,122.8,970,35
Vongfong,2020051506,3,13.9,122.0,985,28
Vongfong,2020051512,3,15.0,121.2,990,25
Vongfong,2020051518,2,16.0,120.7,992,23
Vongfong,2020051600,2,16.8,120.2,995,20
Vongfong,2020051606,2,18.1,119.8,998,18
Vongfong,2020051612,1,18.9,119.5,1000,15
Vongfong,2020051618,1,19.8,119.6,1000,15
Vongfong,2020051700,1,20.6,120.1,1002,13
Vongfong,2020051706,1,21.4,121.1,1002,13
Vongfong,2020051712,1,21.8,122.1,1002,13
Vongfong,2020051718,1,22.2,123.1,1002,13
Vongfong,2020051800,1,22.6,124.6,1002,13
Nadine,1978010612,0,5.0,165.0,1004,0
Nadine,1978010618,0,5.8,164.7,1004,0
Nadine,1978010700,0,6.6,164.2,1002,0
Nadine,1978010706,0,7.1,163.9,1002,0
Nadine,1978010712,1,7.7,163.5,1000,12
Nadine,1978010718,1,8.2,162.7,1000,12
Nadine,1978010800,1,8.9,162.0,1000,12
Nadine,1978010806,1,9.5,162.1,996,15
Nadine,1978010812,1,9.8,162.5,996,15
Nadine,1978010818,1,10.2,162.7,996,15
Nadine,1978010900,1,10.3,162.3,996,15
Nadine,1978010906,1,10.2,161.8,996,15
Nadine,1978010912,1,10.0,161.3,996,15
Nadine,1978010918,1,10.2,160.9,996,15
Nadine,1978011000,1,10.9,161.1,996,15
Nadine,1978011006,2,11.7,161.1,992,20
Nadine,1978011012,2,12.6,160.5,990,20
Nadine,1978011018,3,13.7,160.2,985,25
Nadine,1978011100,3,14.5,160.4,985,25
Nadine,1978011106,3,15.3,161.1,980,25
Nadine,1978011112,3,15.9,161.9,980,25
Nadine,1978011118,3,16.5,163.1,976,30
Nadine,1978011200,3,17.1,164.7,975,30
Nadine,1978011206,3,18.0,166.5,973,30
Nadine,1978011212,3,19.0,168.7,973,30
Nadine,1978011218,3,20.2,171.0,972,30
Nadine,1978011300,3,21.2,173.0,975,25
Nadine,1978011306,2,22.8,177.0,980,20
Carmen,1949011300,0,5.7,139.9,1006,0
Carmen,1949011306,0,5.9,139.3,1006,0
Carmen,1949011312,0,6.3,138.7,1006,0
Carmen,1949011318,0,6.7,138.0,1006,0
Carmen,1949011400,0,7.2,137.3,1005,0
Carmen,1949011406,0,7.7,136.7,1005,0
Carmen,1949011412,0,8.2,136.0,1005,0
Carmen,1949011418,0,8.8,135.3,1005,0
Carmen,1949011500,1,9.6,134.8,1005,15
Carmen,1949011506,2,10.8,134.5,1002,20
Carmen,1949011512,3,11.6,134.5,1000,25
Carmen,1949011518,3,12.2,134.6,998,30
Carmen,1949011600,3,12.7,134.7,998,30
Carmen,1949011606,4,13.1,135.1,996,35
Carmen,1949011612,4,13.2,135.3,996,35
Carmen,1949011618,4,13.2,135.6,996,35
Carmen,1949011700,4,13.1,135.9,993,35
Carmen,1949011706,4,12.8,136.1,993,35
Carmen,1949011712,4,12.6,135.9,993,35
Carmen,1949011718,5,12.4,135.6,990,45
Carmen,1949011800,5,12.3,135.2,990,45
Carmen,1949011806,5,12.4,134.5,990,45
Carmen,1949011812,5,12.4,133.8,990,45
Carmen,1949011818,4,12.3,132.8,995,35
Carmen,1949011900,3,12.2,131.8,995,30
Carmen,1949011906,3,12.1,130.9,995,30
Carmen,1949011912,2,11.9,129.9,1000,20
Carmen,1949011918,2,11.7,129.1,1000,20
Carmen,1949012000,1,11.6,128.2,1002,15
Carmen,1949012006,1,11.4,127.4,1004,15
Carmen,1949012012,0,11.3,126.6,1006,0
Carmen,1949012018,0,11.2,125.7,1006,0
Carmen,1949012100,0,11.3,124.9,1008,0
Carmen,1949012106,0,11.4,124.3,1008,0
Carmen,1949012112,0,11.6,123.8,1008,0
Carmen,1949012118,0,11.7,123.3,1008,0
Carmen,1949012200,0,11.9,122.7,1008,0
Carmen,1949012206,0,12.0,122.2,1008,0
Carmen,1949012212,0,12.5,121.2,1008,0
Carmen,1949012218,0,13.3,120.0,1008,0
Carmen,1949012300,0,13.8,119.4,1008,0
Carmen,1949012306,0,14.3,119.1,1008,0
Carmen,1949012312,0,14.7,118.7,1008,0
Carmen,1949012318,0,15.2,118.4,1008,0
Carmen,1949012400,0,15.7,118.2,1008,0
Carmen,1949012406,0,16.1,117.9,1008,0
Carmen,1949012412,0,16.6,117.7,1008,0
Carmen,1949012418,0,17.1,117.4,1010,0
Carmen,1949012500,0,17.5,117.3,1012,0
Violet,1955010100,0,7.7,140.0,1004,10
Violet,1955010106,1,7.4,139.0,1000,15
Violet,1955010112,1,7.2,137.7,1000,15
Violet,1955010118,1,7.0,136.5,1000,15
Violet,1955010200,2,6.9,135.3,998,20
Violet,1955010206,3,6.8,134.5,998,25
Violet,1955010212,3,6.8,133.8,997,25
Violet,1955010218,3,6.8,132.8,997,25
Violet,1955010300,3,6.8,132.0,997,30
Violet,1955010306,3,6.8,131.5,997,30
Violet,1955010312,3,6.8,130.8,997,30
Violet,1955010318,3,6.9,130.4,996,30
Violet,1955010400,3,6.9,129.8,996,30
Violet,1955010406,4,6.9,128.0,995,35
Violet,1955010412,4,6.8,126.5,995,35
Violet,1955010418,3,6.8,125.0,995,30
Violet,1955010500,3,6.9,124.0,995,30
Violet,1955010506,3,7.1,123.1,995,30
Violet,1955010512,2,7.5,122.4,1000,20
Violet,1955010518,2,8.2,121.7,1000,20
Violet,1955010600,2,8.7,121.0,1000,20
Violet,1955010606,1,9.2,120.4,1006,15
Violet,1955010612,0,9.7,119.9,1006,10
Violet,1955010618,0,10.2,119.3,1008,10
Violet,1955010700,0,10.6,118.7,1008,0
Violet,1955010706,0,10.6,118.0,1008,0
Violet,1955010712,0,10.2,117.3,1008,0
Violet,1955010718,0,9.7,116.7,1008,0
Violet,1955010800,0,9.4,116.2,1008,0
Violet,1955010806,0,9.0,115.6,1008,0
Violet,1955010812,0,8.5,115.0,1008,0
Kit,1972010400,0,9.9,142.0,1006,0
Kit,1972010406,1,9.7,141.0,1002,15
Kit,1972010412,1,9.5,140.0,1000,15
Kit,1972010418,1,9.6,138.7,1000,15
Kit,1972010500,1,9.7,137.4,1000,15
Kit,1972010506,1,9.8,136.2,1000,15
Kit,1972010512,1,10.0,135.0,996,15
Kit,1972010518,1,10.1,133.9,996,15
Kit,1972010600,2,10.3,132.8,990,20
Kit,1972010606,2,10.7,132.0,985,20
Kit,1972010612,3,11.1,130.9,980,25
Kit,1972010618,3,11.3,129.6,960,30
Kit,1972010700,5,11.5,128.3,942,50
Kit,1972010706,5,11.6,127.2,933,50
Kit,1972010712,5,11.4,126.1,958,50
Kit,1972010718,4,10.9,125.4,970,40
Kit,1972010800,4,10.7,124.8,980,35
Kit,1972010806,4,10.9,124.4,980,35
Kit,1972010812,3,10.8,123.7,990,30
Kit,1972010818,2,10.8,122.3,995,20
Kit,1972010900,1,12.0,121.7,996,15
Kit,1972010906,1,13.2,122.8,996,15
Kit,1972010912,1,14.3,124.0,998,15
Kit,1972010918,1,15.2,124.7,1000,15
Kit,1972011000,1,15.9,125.3,1002,15
Kit,1972011006,1,16.2,126.0,1002,15
Kit,1972011012,1,16.3,127.1,1004,12
Kit,1972011018,1,16.1,128.1,1004,12
Kit,1972011100,1,15.9,129.1,1004,12
Kit,1972011106,1,15.5,130.0,1000,15
Kit,1972011112,1,15.3,130.8,1000,15
Kit,1972011118,1,15.0,131.4,1000,15
Kit,1972011200,1,14.7,132.0,1000,15
Kit,1972011206,1,14.3,132.6,1000,15
Kit,1972011212,1,13.8,133.1,1000,15
BOLAVEN,2017123018,1,9.6,135.1,1006,13
BOLAVEN,2017123100,1,9.6,134.1,1006,13
BOLAVEN,2017123106,1,9.5,133.2,1006,13
BOLAVEN,2017123112,1,9.2,132.2,1006,13
BOLAVEN,2017123118,1,8.9,131.0,1006,13
BOLAVEN,2018010100,1,8.8,129.8,1006,13
BOLAVEN,2018010106,1,8.9,128.3,1004,15
BOLAVEN,2018010112,1,9.4,126.5,1004,15
BOLAVEN,2018010118,1,9.4,124.5,1004,15
BOLAVEN,2018010200,1,9.3,122.5,1004,15
BOLAVEN,2018010206,1,9.3,120.8,1004,15
BOLAVEN,2018010212,1,9.6,119.2,1004,15
BOLAVEN,2018010218,1,9.9,117.4,1004,15
BOLAVEN,2018010300,2,10.4,116.0,1000,18
BOLAVEN,2018010306,2,10.9,114.8,1000,18
BOLAVEN,2018010312,2,11.2,113.3,1000,18
BOLAVEN,2018010318,2,11.6,112.2,1000,18
BOLAVEN,2018010400,1,12.3,111.0,1004,15
BOLAVEN,2018010406,0,12.2,109.9,1008,10
(nameless),2017041406,0,10.9,130.2,1010,10
(nameless),2017041412,0,10.7,129.0,1010,10
(nameless),2017041418,0,10.7,128.0,1010,10
(nameless),2017041500,1,10.9,127.2,1008,13
(nameless),2017041506,1,11.1,126.3,1008,13
(nameless),2017041512,1,11.4,125.4,1008,13
(nameless),2017041518,1,11.4,124.2,1008,13
